Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,CI-1049,CI-1104,CI-8010,CI-8050,DFI-250,DFI-266,EF-W12,EF-W2,EF-W3,EF-W4,EF-W5,EF-W6,EF-W8
budA,budA,acetolactate decarboxylase,13,13,1.0,1,2354,,,,705,705,705.0,FHNNJA_09100,CJHMOJ_05405,HCJMML_05895,LIMHLO_04845,JEILEN_06140,JBIPMC_05950,PEDMFB_09260,PMCJLP_05570,MIJGKE_09265,JCNBHB_09270,CGGMPE_09265,LOEDCI_05800,FNCLAJ_05575
yugP,yugP,Zn-dependent membrane protease YugP,13,13,1.0,1,2351,,,,705,705,705.0,FHNNJA_05055,CJHMOJ_09390,HCJMML_10050,LIMHLO_08230,JEILEN_10340,JBIPMC_10140,PEDMFB_05210,PMCJLP_09245,MIJGKE_05215,JCNBHB_05215,CGGMPE_05210,LOEDCI_10530,FNCLAJ_09510
group_1351,mngR,DNA-binding transcriptional regulator GntR family,13,13,1.0,1,2340,,,,708,708,708.0,FHNNJA_08435,CJHMOJ_05990,HCJMML_06465,LIMHLO_05410,JEILEN_06730,JBIPMC_06525,PEDMFB_08695,PMCJLP_06150,MIJGKE_08700,JCNBHB_08700,CGGMPE_08695,LOEDCI_06370,FNCLAJ_06155
azlC,azlC,putative branched-chain amino acid permease (azaleucine resistance),13,13,1.0,1,2339,,,,708,708,708.0,FHNNJA_04270,CJHMOJ_10290,HCJMML_11210,LIMHLO_09005,JEILEN_11360,JBIPMC_11315,PEDMFB_04335,PMCJLP_10125,MIJGKE_04335,JCNBHB_04335,CGGMPE_04335,LOEDCI_11480,FNCLAJ_10395
deoD,deoD,purine-nucleoside phosphorylase,13,13,1.0,1,2338,,,,708,708,708.0,FHNNJA_00855,CJHMOJ_00695,HCJMML_00820,LIMHLO_00650,JEILEN_00845,JBIPMC_00830,PEDMFB_00665,PMCJLP_00700,MIJGKE_00665,JCNBHB_00665,CGGMPE_00665,LOEDCI_00940,FNCLAJ_00700
sdaAB,sdaAB,L-serine ammonia-lyase iron-sulfur-dependent subunit beta,13,13,1.0,1,2337,,,,708,708,708.0,FHNNJA_00455,CJHMOJ_00450,HCJMML_00420,LIMHLO_00435,JEILEN_00425,JBIPMC_00420,PEDMFB_00415,PMCJLP_00450,MIJGKE_00415,JCNBHB_00415,CGGMPE_00415,LOEDCI_00750,FNCLAJ_00450
group_1347,,ABC transporter domain-containing protein,13,13,1.0,1,2331,,,,711,711,711.0,FHNNJA_13280,CJHMOJ_01920,HCJMML_01770,LIMHLO_01610,JEILEN_01810,JBIPMC_01785,PEDMFB_14055,PMCJLP_01660,MIJGKE_13990,JCNBHB_13995,CGGMPE_13695,LOEDCI_01930,FNCLAJ_01660
group_1345,ompR,DNA-binding response regulator OmpR family contains REC and winged-helix (wHTH) domain,13,13,1.0,1,2329,,,,711,711,711.0,FHNNJA_06880,CJHMOJ_07500,HCJMML_07935,LIMHLO_06760,JEILEN_08260,JBIPMC_08015,PEDMFB_07235,PMCJLP_07665,MIJGKE_07240,JCNBHB_07240,CGGMPE_07235,LOEDCI_07900,FNCLAJ_07660
group_1344,,DUF697 domain-containing protein,13,13,1.0,1,2328,,,,711,711,711.0,FHNNJA_03830,CJHMOJ_10725,HCJMML_11645,LIMHLO_09365,JEILEN_11785,JBIPMC_11745,PEDMFB_03875,PMCJLP_10570,MIJGKE_03875,JCNBHB_03875,CGGMPE_03875,LOEDCI_11915,FNCLAJ_10835
glpG,glpG,Membrane-associated serine protease rhomboid family,13,13,1.0,1,2327,,,,711,711,711.0,FHNNJA_03185,CJHMOJ_11415,HCJMML_12585,LIMHLO_10050,JEILEN_12750,JBIPMC_12690,PEDMFB_03180,PMCJLP_11260,MIJGKE_03180,JCNBHB_03180,CGGMPE_03180,LOEDCI_12590,FNCLAJ_11535
hisM,hisM,ABC-type amino acid transport system permease component,13,13,1.0,1,2318,,,,714,714,714.0,FHNNJA_09550,CJHMOJ_04960,HCJMML_05430,LIMHLO_04330,JEILEN_05670,JBIPMC_05485,PEDMFB_09725,PMCJLP_05125,MIJGKE_09730,JCNBHB_09735,CGGMPE_09730,LOEDCI_05320,FNCLAJ_05130
group_1336,mngR,DNA-binding transcriptional regulator GntR family,13,13,1.0,1,2317,,,,714,714,714.0,FHNNJA_08870,CJHMOJ_05550,HCJMML_06035,LIMHLO_04985,JEILEN_06280,JBIPMC_06090,PEDMFB_09120,PMCJLP_05710,MIJGKE_09125,JCNBHB_09130,CGGMPE_09125,LOEDCI_05940,FNCLAJ_05715
pyrF,pyrF,orotidine-5'-phosphate decarboxylase,13,13,1.0,1,2316,,,,714,714,714.0,FHNNJA_06830,CJHMOJ_07550,HCJMML_07985,LIMHLO_06810,JEILEN_08310,JBIPMC_08065,PEDMFB_07185,PMCJLP_07715,MIJGKE_07190,JCNBHB_07190,CGGMPE_07185,LOEDCI_07950,FNCLAJ_07710
purC,purC,phosphoribosylaminoimidazolesuccinocarboxamide synthase,13,13,1.0,1,2315,,,,714,714,714.0,FHNNJA_06480,CJHMOJ_07900,HCJMML_08325,LIMHLO_07185,JEILEN_08660,JBIPMC_08405,PEDMFB_06850,PMCJLP_08070,MIJGKE_06855,JCNBHB_06855,CGGMPE_06850,LOEDCI_08300,FNCLAJ_08065
group_1335,wcaA,Glycosyltransferase involved in cell wall bisynthesis,13,13,1.0,1,2314,,,,714,714,714.0,FHNNJA_05425,CJHMOJ_09310,HCJMML_09970,LIMHLO_08155,JEILEN_10260,JBIPMC_10060,PEDMFB_05290,PMCJLP_09165,MIJGKE_05295,JCNBHB_05295,CGGMPE_05290,LOEDCI_10120,FNCLAJ_09430
yigB,yigB,FMN and 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB HAD superfamily (riboflavin biosynthesis),13,13,1.0,1,2313,,,,714,714,714.0,FHNNJA_03645,CJHMOJ_10905,HCJMML_12115,LIMHLO_09545,JEILEN_11965,JBIPMC_12220,PEDMFB_03695,PMCJLP_10750,MIJGKE_03695,JCNBHB_03695,CGGMPE_03695,LOEDCI_12095,FNCLAJ_11015
cobB,cobB,NAD-dependent protein deacylase,13,13,1.0,1,2312,,,,714,714,714.0,FHNNJA_01140,CJHMOJ_00990,HCJMML_01105,LIMHLO_00945,JEILEN_01130,JBIPMC_01115,PEDMFB_00950,PMCJLP_00995,MIJGKE_00950,JCNBHB_00950,CGGMPE_00950,LOEDCI_01240,FNCLAJ_00995
rsmG,rsmG,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,13,13,1.0,1,2309,,,,717,717,717.0,FHNNJA_13920,CJHMOJ_14110,HCJMML_14705,LIMHLO_12245,JEILEN_15100,JBIPMC_14805,PEDMFB_14930,PMCJLP_13930,MIJGKE_14865,JCNBHB_14870,CGGMPE_14570,LOEDCI_14620,FNCLAJ_14200
group_1332,dnaD,DNA replication protein DnaD,13,13,1.0,1,2308,,,,717,717,717.0,FHNNJA_09370,CJHMOJ_05140,HCJMML_05610,LIMHLO_04515,JEILEN_05845,JBIPMC_05660,PEDMFB_09545,PMCJLP_05305,MIJGKE_09550,JCNBHB_09555,CGGMPE_09550,LOEDCI_05505,FNCLAJ_05310
group_1330,,Pseudouridine synthase,13,13,1.0,1,2306,,,,717,717,717.0,FHNNJA_07685,CJHMOJ_06730,HCJMML_07170,LIMHLO_06015,JEILEN_07445,JBIPMC_07245,PEDMFB_08035,PMCJLP_06900,MIJGKE_08040,JCNBHB_08040,CGGMPE_08035,LOEDCI_07090,FNCLAJ_06895
ddpA,ddpA,ABC-type transport system periplasmic component,13,13,1.0,1,2303,,,,1779,1782,1781.5384615384614,FHNNJA_02135,CJHMOJ_13160,HCJMML_13785,LIMHLO_11320,JEILEN_14170,JBIPMC_13890,PEDMFB_01750,PMCJLP_12980,MIJGKE_01750,JCNBHB_01750,CGGMPE_01750,LOEDCI_13720,FNCLAJ_13250
group_1328,gsiA,energy-coupling factor transporter ATPase,13,13,1.0,1,2302,,,,1707,1707,1707.0,FHNNJA_05625,CJHMOJ_09120,HCJMML_09780,LIMHLO_07980,JEILEN_10075,JBIPMC_09870,PEDMFB_05475,PMCJLP_08975,MIJGKE_05480,JCNBHB_05480,CGGMPE_05475,LOEDCI_09940,FNCLAJ_09240
group_1324,,WxL domain-containing protein,13,13,1.0,1,2298,,,,720,720,720.0,FHNNJA_09000,CJHMOJ_05415,HCJMML_05905,LIMHLO_04855,JEILEN_06150,JBIPMC_05960,PEDMFB_09250,PMCJLP_05580,MIJGKE_09255,JCNBHB_09260,CGGMPE_09255,LOEDCI_05810,FNCLAJ_05585
group_1323,ompR,DNA-binding response regulator OmpR family contains REC and winged-helix (wHTH) domain,13,13,1.0,1,2297,,,,720,720,720.0,FHNNJA_08790,CJHMOJ_05640,HCJMML_06115,LIMHLO_05060,JEILEN_06370,JBIPMC_06175,PEDMFB_09045,PMCJLP_05800,MIJGKE_09050,JCNBHB_09050,CGGMPE_09045,LOEDCI_06020,FNCLAJ_05805
group_1322,glpF,Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family),13,13,1.0,1,2296,,,,720,720,720.0,FHNNJA_06110,CJHMOJ_08340,HCJMML_09005,LIMHLO_07535,JEILEN_09025,JBIPMC_09090,PEDMFB_06290,PMCJLP_08495,MIJGKE_06295,JCNBHB_06295,CGGMPE_06290,LOEDCI_08860,FNCLAJ_08490
tsaB,tsaB,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB,13,13,1.0,1,2294,,,,720,720,720.0,FHNNJA_04405,CJHMOJ_10170,HCJMML_11040,LIMHLO_08850,JEILEN_11190,JBIPMC_11140,PEDMFB_04500,PMCJLP_10005,MIJGKE_04505,JCNBHB_04500,CGGMPE_04500,LOEDCI_11330,FNCLAJ_10275
group_1320,atpB,F0F1 ATP synthase subunit A,13,13,1.0,1,2293,,,,720,720,720.0,FHNNJA_03945,CJHMOJ_10610,HCJMML_11530,LIMHLO_09250,JEILEN_11670,JBIPMC_11630,PEDMFB_04010,PMCJLP_10450,MIJGKE_04010,JCNBHB_04010,CGGMPE_04010,LOEDCI_11800,FNCLAJ_10720
tACO1,tACO1,YebC/PmpR family DNA-binding transcriptional regulator,13,13,1.0,1,2292,,,,720,720,720.0,FHNNJA_03090,CJHMOJ_11820,HCJMML_12670,LIMHLO_10135,JEILEN_13150,JBIPMC_12775,PEDMFB_02765,PMCJLP_11365,MIJGKE_02765,JCNBHB_02765,CGGMPE_02765,LOEDCI_12685,FNCLAJ_11640
ehuA,ehuA,ABC-type polar amino acid transport system ATPase component,13,13,1.0,1,2286,,,,723,723,723.0,FHNNJA_11090,CJHMOJ_03610,HCJMML_04120,LIMHLO_03130,JEILEN_04100,JBIPMC_04165,PEDMFB_11230,PMCJLP_03915,MIJGKE_11230,JCNBHB_11240,CGGMPE_10940,LOEDCI_04095,FNCLAJ_03920
traX,traX,TraX family protein,13,13,1.0,1,2285,,,,723,723,723.0,FHNNJA_07050,CJHMOJ_07315,HCJMML_07755,LIMHLO_06590,JEILEN_08080,JBIPMC_07830,PEDMFB_07415,PMCJLP_07485,MIJGKE_07420,JCNBHB_07420,CGGMPE_07415,LOEDCI_07715,FNCLAJ_07480
abcC,abcC,ABC-type methionine transport system ATPase component,13,13,1.0,1,2284,,,,723,723,723.0,FHNNJA_01695,CJHMOJ_13635,HCJMML_14275,LIMHLO_11765,JEILEN_14620,JBIPMC_14380,PEDMFB_14440,PMCJLP_13455,MIJGKE_14375,JCNBHB_14380,CGGMPE_14080,LOEDCI_14180,FNCLAJ_13725
tim44,tim44,putative lipid-binding transport protein Tim44 family,13,13,1.0,1,2280,,,,735,735,735.0,FHNNJA_06530,CJHMOJ_07850,HCJMML_08275,LIMHLO_07135,JEILEN_08610,JBIPMC_08355,PEDMFB_06900,PMCJLP_08020,MIJGKE_06905,JCNBHB_06905,CGGMPE_06900,LOEDCI_08250,FNCLAJ_08015
proS,proS,proline--tRNA ligase,13,13,1.0,1,2279,,,,1719,1719,1719.0,FHNNJA_04825,CJHMOJ_09700,HCJMML_10590,LIMHLO_08440,JEILEN_10705,JBIPMC_10690,PEDMFB_04945,PMCJLP_09555,MIJGKE_04950,JCNBHB_04950,CGGMPE_04945,LOEDCI_10765,FNCLAJ_09820
group_1306,wcaA,Glycosyltransferase involved in cell wall bisynthesis,13,13,1.0,1,2273,,,,726,726,726.0,FHNNJA_05450,CJHMOJ_09285,HCJMML_09945,LIMHLO_08130,JEILEN_10235,JBIPMC_10035,PEDMFB_05315,PMCJLP_09140,MIJGKE_05320,JCNBHB_05320,CGGMPE_05315,LOEDCI_10095,FNCLAJ_09405
pyrH,pyrH,UMP kinase,13,13,1.0,1,2272,,,,726,726,726.0,FHNNJA_04760,CJHMOJ_09790,HCJMML_10660,LIMHLO_08480,JEILEN_10830,JBIPMC_10760,PEDMFB_04875,PMCJLP_09635,MIJGKE_04880,JCNBHB_04875,CGGMPE_04875,LOEDCI_10975,FNCLAJ_09905
lytT,lytT,Sensory transduction protein LytT,13,13,1.0,1,2268,,,,729,729,729.0,FHNNJA_01715,CJHMOJ_13615,HCJMML_14255,LIMHLO_11745,JEILEN_14600,JBIPMC_14360,PEDMFB_14420,PMCJLP_13435,MIJGKE_14355,JCNBHB_14360,CGGMPE_14060,LOEDCI_14160,FNCLAJ_13705
group_1303,manB,Phosphomannomutase,13,13,1.0,1,2267,,,,1725,1725,1725.0,FHNNJA_04635,CJHMOJ_09915,HCJMML_10785,LIMHLO_08605,JEILEN_10955,JBIPMC_10885,PEDMFB_04750,PMCJLP_09760,MIJGKE_04755,JCNBHB_04750,CGGMPE_04750,LOEDCI_11100,FNCLAJ_10030
group_1300,,WxL domain-containing protein,13,13,1.0,1,2264,,,,732,732,732.0,FHNNJA_11775,CJHMOJ_02845,HCJMML_03445,LIMHLO_02440,JEILEN_03455,JBIPMC_03485,PEDMFB_11900,PMCJLP_03230,MIJGKE_11900,JCNBHB_11910,CGGMPE_11610,LOEDCI_03460,FNCLAJ_03235
sfsA,sfsA,DNA/RNA nuclease SfsA,13,13,1.0,1,2263,,,,732,732,732.0,FHNNJA_10500,CJHMOJ_04205,HCJMML_04800,LIMHLO_03730,JEILEN_04800,JBIPMC_04855,PEDMFB_10365,PMCJLP_04505,MIJGKE_10365,JCNBHB_10375,CGGMPE_10370,LOEDCI_04695,FNCLAJ_04510
group_1299,mngR,DNA-binding transcriptional regulator GntR family,13,13,1.0,1,2262,,,,732,732,732.0,FHNNJA_06375,CJHMOJ_08005,HCJMML_08430,LIMHLO_07295,JEILEN_08765,JBIPMC_08510,PEDMFB_06745,PMCJLP_08175,MIJGKE_06750,JCNBHB_06750,CGGMPE_06745,LOEDCI_08405,FNCLAJ_08170
liaF,liaF,three-component signaling pathway regulator LiaF,13,13,1.0,1,2261,,,,732,732,732.0,FHNNJA_02850,CJHMOJ_12060,HCJMML_12905,LIMHLO_10375,JEILEN_13390,JBIPMC_13010,PEDMFB_02525,PMCJLP_11605,MIJGKE_02525,JCNBHB_02525,CGGMPE_02525,LOEDCI_12920,FNCLAJ_11880
ptsI,ptsI,Phosphoenolpyruvate-protein phosphotransferase,13,13,1.0,1,2258,,,,1728,1728,1728.0,FHNNJA_11960,CJHMOJ_02660,HCJMML_03260,LIMHLO_02250,JEILEN_03265,JBIPMC_03300,PEDMFB_12330,PMCJLP_03045,MIJGKE_12330,JCNBHB_12340,CGGMPE_12040,LOEDCI_03275,FNCLAJ_03050
fatA,fatA,Acyl-ACP thioesterase,13,13,1.0,1,2250,,,,735,735,735.0,FHNNJA_13520,CJHMOJ_01685,HCJMML_01540,LIMHLO_01390,JEILEN_01565,JBIPMC_01550,PEDMFB_01400,PMCJLP_01425,MIJGKE_01400,JCNBHB_01400,CGGMPE_01400,LOEDCI_01675,FNCLAJ_01425
group_1290,mdlB,ABC-type multidrug transport system ATPase and permease component,13,13,1.0,1,2249,,,,1728,1728,1728.0,FHNNJA_04040,CJHMOJ_10515,HCJMML_11435,LIMHLO_09150,JEILEN_11575,JBIPMC_11535,PEDMFB_04105,PMCJLP_10355,MIJGKE_04105,JCNBHB_04105,CGGMPE_04105,LOEDCI_11705,FNCLAJ_10625
trmN6,trmN6,tRNA1(Val) A37 N6-methylase TrmN6,13,13,1.0,1,2247,,,,735,735,735.0,FHNNJA_03620,CJHMOJ_10970,HCJMML_12140,LIMHLO_09595,JEILEN_12020,JBIPMC_12245,PEDMFB_03630,PMCJLP_10815,MIJGKE_03630,JCNBHB_03630,CGGMPE_03630,LOEDCI_12150,FNCLAJ_11090
srtA,srtA,Sortase (surface protein transpeptidase),13,13,1.0,1,2246,,,,735,735,735.0,FHNNJA_02335,CJHMOJ_12950,HCJMML_13575,LIMHLO_11095,JEILEN_13965,JBIPMC_13680,PEDMFB_01945,PMCJLP_12780,MIJGKE_01945,JCNBHB_01945,CGGMPE_01945,LOEDCI_13510,FNCLAJ_13050
group_1288,,WxL domain-containing protein,13,13,1.0,1,2245,,,,735,735,735.0,FHNNJA_01750,CJHMOJ_13580,HCJMML_14220,LIMHLO_11710,JEILEN_14565,JBIPMC_14325,PEDMFB_14385,PMCJLP_13400,MIJGKE_14320,JCNBHB_14325,CGGMPE_14025,LOEDCI_14125,FNCLAJ_13670
group_1285,ccmA,ABC-type multidrug transport system ATPase component,13,13,1.0,1,2242,,,,738,738,738.0,FHNNJA_12065,CJHMOJ_02555,HCJMML_03150,LIMHLO_02145,JEILEN_03160,JBIPMC_03190,PEDMFB_12435,PMCJLP_02940,MIJGKE_12435,JCNBHB_12445,CGGMPE_12145,LOEDCI_03170,FNCLAJ_02945
group_1284,glnQ,ABC-type polar amino acid transport system ATPase component,13,13,1.0,1,2241,,,,738,738,738.0,FHNNJA_11730,CJHMOJ_02890,HCJMML_03490,LIMHLO_02485,JEILEN_03500,JBIPMC_03530,PEDMFB_11855,PMCJLP_03275,MIJGKE_11855,JCNBHB_11865,CGGMPE_11565,LOEDCI_03510,FNCLAJ_03280
group_1281,fabG,3-oxoacyl-[acyl-carrier-protein] reductase,13,13,1.0,1,2238,,,,738,738,738.0,FHNNJA_03015,CJHMOJ_11895,HCJMML_12745,LIMHLO_10210,JEILEN_13225,JBIPMC_12850,PEDMFB_02690,PMCJLP_11440,MIJGKE_02690,JCNBHB_02690,CGGMPE_02690,LOEDCI_12760,FNCLAJ_11715
trmD,trmD,tRNA (guanosine(37)-N1)-methyltransferase TrmD,13,13,1.0,1,2236,,,,741,741,741.0,FHNNJA_06235,CJHMOJ_08205,HCJMML_08870,LIMHLO_07435,JEILEN_08895,JBIPMC_08950,PEDMFB_06415,PMCJLP_08370,MIJGKE_06420,JCNBHB_06420,CGGMPE_06415,LOEDCI_08735,FNCLAJ_08365
elaC,elaC,Ribonuclease BN tRNA processing enzyme,13,13,1.0,1,2235,,,,741,741,741.0,FHNNJA_03405,CJHMOJ_11195,HCJMML_12355,LIMHLO_09815,JEILEN_12530,JBIPMC_12460,PEDMFB_03405,PMCJLP_11040,MIJGKE_03405,JCNBHB_03405,CGGMPE_03405,LOEDCI_12370,FNCLAJ_11315
group_1280,ubiE,Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG,13,13,1.0,1,2234,,,,741,741,741.0,FHNNJA_03080,CJHMOJ_11830,HCJMML_12680,LIMHLO_10145,JEILEN_13160,JBIPMC_12785,PEDMFB_02755,PMCJLP_11375,MIJGKE_02755,JCNBHB_02755,CGGMPE_02755,LOEDCI_12695,FNCLAJ_11650
menD,menD,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase,13,13,1.0,1,2233,,,,1734,1734,1734.0,FHNNJA_13135,CJHMOJ_02055,HCJMML_01850,LIMHLO_01700,JEILEN_01945,JBIPMC_01865,PEDMFB_13910,PMCJLP_01795,MIJGKE_13845,JCNBHB_13850,CGGMPE_13550,LOEDCI_02070,FNCLAJ_01795
glnQ,glnQ,ABC-type polar amino acid transport system ATPase component,13,13,1.0,1,2232,,,,741,741,741.0,FHNNJA_01125,CJHMOJ_00975,HCJMML_01090,LIMHLO_00930,JEILEN_01115,JBIPMC_01100,PEDMFB_00935,PMCJLP_00980,MIJGKE_00935,JCNBHB_00935,CGGMPE_00935,LOEDCI_01225,FNCLAJ_00980
ppiB,ppiB,Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family,13,13,1.0,1,2220,,,,750,750,750.0,FHNNJA_07715,CJHMOJ_06700,HCJMML_07140,LIMHLO_05985,JEILEN_07415,JBIPMC_07215,PEDMFB_08065,PMCJLP_06870,MIJGKE_08070,JCNBHB_08070,CGGMPE_08065,LOEDCI_07060,FNCLAJ_06865
group_1269,lolD,ABC-type lipoprotein export system ATPase component,13,13,1.0,1,2219,,,,750,750,750.0,FHNNJA_05805,CJHMOJ_08940,HCJMML_09600,LIMHLO_07805,JEILEN_09590,JBIPMC_09690,PEDMFB_05970,PMCJLP_08795,MIJGKE_05975,JCNBHB_05975,CGGMPE_05970,LOEDCI_09450,FNCLAJ_09060
znuC,znuC,ABC-type Mn2+/Zn2+ transport system ATPase component,13,13,1.0,1,2218,,,,750,750,750.0,FHNNJA_05705,CJHMOJ_09040,HCJMML_09700,LIMHLO_07900,JEILEN_09690,JBIPMC_09790,PEDMFB_05870,PMCJLP_08895,MIJGKE_05875,JCNBHB_05875,CGGMPE_05870,LOEDCI_09550,FNCLAJ_09160
group_1268,manY,Phosphotransferase system mannose/fructose/N-acetylgalactosamine-specific IIC component,13,13,1.0,1,2217,,,,750,750,750.0,FHNNJA_02625,CJHMOJ_12275,HCJMML_13235,LIMHLO_10810,JEILEN_13605,JBIPMC_13340,PEDMFB_02300,PMCJLP_12100,MIJGKE_02300,JCNBHB_02300,CGGMPE_02300,LOEDCI_13135,FNCLAJ_12375
pTC1,pTC1,Stp1/IreP family PP2C-type Ser/Thr phosphatase,13,13,1.0,1,2216,,,,750,750,750.0,FHNNJA_02060,CJHMOJ_13265,HCJMML_13885,LIMHLO_11395,JEILEN_14265,JBIPMC_13990,PEDMFB_01675,PMCJLP_13080,MIJGKE_01675,JCNBHB_01675,CGGMPE_01675,LOEDCI_13820,FNCLAJ_13350
truA,truA,tRNA pseudouridine(38-40) synthase TruA,13,13,1.0,1,2215,,,,750,750,750.0,FHNNJA_01100,CJHMOJ_00940,HCJMML_01065,LIMHLO_00905,JEILEN_01090,JBIPMC_01075,PEDMFB_00910,PMCJLP_00945,MIJGKE_00910,JCNBHB_00910,CGGMPE_00910,LOEDCI_01200,FNCLAJ_00945
fabI,fabI,enoyl-ACP reductase FabI,13,13,1.0,1,2208,,,,753,753,753.0,FHNNJA_13660,CJHMOJ_01285,HCJMML_01405,LIMHLO_01245,JEILEN_01430,JBIPMC_01415,PEDMFB_01245,PMCJLP_01290,MIJGKE_01245,JCNBHB_01245,CGGMPE_01245,LOEDCI_01535,FNCLAJ_01290
iclR,iclR,DNA-binding transcriptional regulator IclR family,13,13,1.0,1,2207,,,,753,753,753.0,FHNNJA_13245,CJHMOJ_01945,HCJMML_01795,LIMHLO_01645,JEILEN_01835,JBIPMC_01810,PEDMFB_14020,PMCJLP_01685,MIJGKE_13955,JCNBHB_13960,CGGMPE_13660,LOEDCI_01960,FNCLAJ_01685
group_1262,glpR,DNA-binding transcriptional regulator of sugar metabolism DeoR/GlpR family,13,13,1.0,1,2206,,,,753,753,753.0,FHNNJA_11920,CJHMOJ_02700,HCJMML_03300,LIMHLO_02290,JEILEN_03310,JBIPMC_03340,PEDMFB_12290,PMCJLP_03085,MIJGKE_12290,JCNBHB_12300,CGGMPE_12000,LOEDCI_03315,FNCLAJ_03090
oca4,oca4,Protein tyrosine/serine phosphatase Oca4,13,13,1.0,1,2205,,,,753,753,753.0,FHNNJA_11265,CJHMOJ_03440,HCJMML_03950,LIMHLO_02965,JEILEN_03930,JBIPMC_03995,PEDMFB_11400,PMCJLP_03745,MIJGKE_11400,JCNBHB_11410,CGGMPE_11110,LOEDCI_03905,FNCLAJ_03750
yjjP,yjjP,DUF1212 domain-containing protein,13,13,1.0,1,2204,,,,753,753,753.0,FHNNJA_09160,CJHMOJ_05345,HCJMML_05835,LIMHLO_04745,JEILEN_06080,JBIPMC_05890,PEDMFB_09320,PMCJLP_05510,MIJGKE_09325,JCNBHB_09330,CGGMPE_09325,LOEDCI_05740,FNCLAJ_05515
rsmE,rsmE,16S rRNA (uracil(1498)-N(3))-methyltransferase,13,13,1.0,1,2203,,,,753,753,753.0,FHNNJA_05905,CJHMOJ_08555,HCJMML_09210,LIMHLO_07705,JEILEN_09225,JBIPMC_09295,PEDMFB_06075,PMCJLP_08700,MIJGKE_06080,JCNBHB_06080,CGGMPE_06075,LOEDCI_09065,FNCLAJ_08695
group_1261,rpiR,DNA-binding transcriptional regulator MurR/RpiR family contains HTH and SIS domains,13,13,1.0,1,2202,,,,756,756,756.0,FHNNJA_12045,CJHMOJ_02575,HCJMML_03170,LIMHLO_02165,JEILEN_03180,JBIPMC_03210,PEDMFB_12415,PMCJLP_02960,MIJGKE_12415,JCNBHB_12425,CGGMPE_12125,LOEDCI_03190,FNCLAJ_02965
group_1255,soxR,DNA-binding transcriptional regulator MerR family,13,13,1.0,1,2196,,,,756,756,756.0,FHNNJA_06900,CJHMOJ_07480,HCJMML_07915,LIMHLO_06740,JEILEN_08240,JBIPMC_07995,PEDMFB_07255,PMCJLP_07645,MIJGKE_07260,JCNBHB_07260,CGGMPE_07255,LOEDCI_07880,FNCLAJ_07640
tpiA,tpiA,triose-phosphate isomerase,13,13,1.0,1,2195,,,,756,756,756.0,FHNNJA_05965,CJHMOJ_08495,HCJMML_09150,LIMHLO_07645,JEILEN_09165,JBIPMC_09235,PEDMFB_06135,PMCJLP_08640,MIJGKE_06140,JCNBHB_06140,CGGMPE_06135,LOEDCI_09005,FNCLAJ_08635
ceuD,ceuD,ABC-type enterochelin transport system ATPase component,13,13,1.0,1,2194,,,,756,756,756.0,FHNNJA_02205,CJHMOJ_13070,HCJMML_13690,LIMHLO_11215,JEILEN_14095,JBIPMC_13795,PEDMFB_01820,PMCJLP_12900,MIJGKE_01820,JCNBHB_01820,CGGMPE_01820,LOEDCI_13640,FNCLAJ_13170
xth,xth,exodeoxyribonuclease III,13,13,1.0,1,2193,,,,756,756,756.0,FHNNJA_03440,CJHMOJ_11160,HCJMML_12320,LIMHLO_09780,JEILEN_12495,JBIPMC_12425,PEDMFB_03450,PMCJLP_11005,MIJGKE_03450,JCNBHB_03450,CGGMPE_03450,LOEDCI_12335,FNCLAJ_11280
group_1254,mdlB,ABC-type multidrug transport system ATPase and permease component,13,13,1.0,1,2192,,,,1749,1749,1749.0,FHNNJA_07430,CJHMOJ_06980,HCJMML_07420,LIMHLO_06265,JEILEN_07695,JBIPMC_07495,PEDMFB_07780,PMCJLP_07150,MIJGKE_07785,JCNBHB_07785,CGGMPE_07780,LOEDCI_07345,FNCLAJ_07145
yktB,yktB,UPF0637 protein EF_3078,13,13,1.0,1,2189,,,,612,612,612.0,FHNNJA_02230,CJHMOJ_13045,HCJMML_13665,LIMHLO_11190,JEILEN_14070,JBIPMC_13770,PEDMFB_01845,PMCJLP_12875,MIJGKE_01845,JCNBHB_01845,CGGMPE_01845,LOEDCI_13615,FNCLAJ_13145
group_1250,,Threonine/serine exporter-like N-terminal domain-containing protein,13,13,1.0,1,2187,,,,759,759,759.0,FHNNJA_08805,CJHMOJ_05625,HCJMML_06100,LIMHLO_05050,JEILEN_06355,JBIPMC_06160,PEDMFB_09055,PMCJLP_05785,MIJGKE_09060,JCNBHB_09065,CGGMPE_09060,LOEDCI_06005,FNCLAJ_05790
