Gene,Non-unique Gene name,Annotation,CI-1049,CI-1104,CI-8010,CI-8050,DFI-250,DFI-266,EF-W12,EF-W2,EF-W3,EF-W4,EF-W5,EF-W6,EF-W8
clpP,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,FHNNJA_11680,CJHMOJ_02940,HCJMML_03540,LIMHLO_02535,JEILEN_03550,JBIPMC_03580,PEDMFB_11805,PMCJLP_03325,MIJGKE_11805,JCNBHB_11815,CGGMPE_11515,LOEDCI_03560,FNCLAJ_03330
group_1549,,DUF624 domain-containing protein,FHNNJA_08905,CJHMOJ_05515,HCJMML_06000,LIMHLO_04950,JEILEN_06245,JBIPMC_06055,PEDMFB_09155,PMCJLP_05675,MIJGKE_09160,JCNBHB_09165,CGGMPE_09160,LOEDCI_05905,FNCLAJ_05680
fMR2,fMR2,Fatty acid repression mutant protein (putative oxidoreductase),FHNNJA_12260,CJHMOJ_02360,HCJMML_02955,LIMHLO_01980,JEILEN_02970,JBIPMC_02995,PEDMFB_12755,PMCJLP_02740,MIJGKE_12685,JCNBHB_12695,CGGMPE_12395,LOEDCI_02990,FNCLAJ_02745
nrdG,nrdG,anaerobic ribonucleoside-triphosphate reductase activating protein,FHNNJA_03350,CJHMOJ_11250,HCJMML_12410,LIMHLO_09870,JEILEN_12585,JBIPMC_12515,PEDMFB_03350,PMCJLP_11095,MIJGKE_03350,JCNBHB_03350,CGGMPE_03350,LOEDCI_12425,FNCLAJ_11370
recR,recR,recombination mediator RecR,FHNNJA_03300,CJHMOJ_11300,HCJMML_12460,LIMHLO_09920,JEILEN_12635,JBIPMC_12565,PEDMFB_03300,PMCJLP_11145,MIJGKE_03300,JCNBHB_03300,CGGMPE_03300,LOEDCI_12475,FNCLAJ_11420
group_1545,lysM,LysM domain protein,FHNNJA_13155,CJHMOJ_02035,HCJMML_01830,LIMHLO_01680,JEILEN_01925,JBIPMC_01845,PEDMFB_13930,PMCJLP_01775,MIJGKE_13865,JCNBHB_13870,CGGMPE_13570,LOEDCI_02050,FNCLAJ_01775
group_1544,tVP38,Uncharacterized membrane protein YdjX related to fungal oxalate transporter TVP38/TMEM64 family,FHNNJA_06215,CJHMOJ_08225,HCJMML_08890,LIMHLO_07455,JEILEN_08915,JBIPMC_08970,PEDMFB_06395,PMCJLP_08390,MIJGKE_06400,JCNBHB_06400,CGGMPE_06395,LOEDCI_08755,FNCLAJ_08385
tVP38,tVP38,Uncharacterized membrane protein YdjX related to fungal oxalate transporter TVP38/TMEM64 family,FHNNJA_02770,CJHMOJ_12140,HCJMML_12985,LIMHLO_10675,JEILEN_13470,JBIPMC_13090,PEDMFB_02445,PMCJLP_11685,MIJGKE_02445,JCNBHB_02445,CGGMPE_02445,LOEDCI_13000,FNCLAJ_11960
group_1539,dhaL,dihydroxyacetone kinase subunit DhaL,FHNNJA_08240,CJHMOJ_06185,HCJMML_06625,LIMHLO_05525,JEILEN_06895,JBIPMC_06695,PEDMFB_08580,PMCJLP_06360,MIJGKE_08585,JCNBHB_08585,CGGMPE_08580,LOEDCI_06525,FNCLAJ_06355
group_1530,,Permease,FHNNJA_10895,CJHMOJ_03810,HCJMML_04310,LIMHLO_03320,JEILEN_04290,JBIPMC_04355,PEDMFB_11035,PMCJLP_04110,MIJGKE_11035,JCNBHB_11045,CGGMPE_10745,LOEDCI_04290,FNCLAJ_04115
scpB,scpB,SMC-Scp complex subunit ScpB,FHNNJA_07690,CJHMOJ_06725,HCJMML_07165,LIMHLO_06010,JEILEN_07440,JBIPMC_07240,PEDMFB_08040,PMCJLP_06895,MIJGKE_08045,JCNBHB_08045,CGGMPE_08040,LOEDCI_07085,FNCLAJ_06890
fmnP,fmnP,Riboflavin transporter FmnP,FHNNJA_07680,CJHMOJ_06735,HCJMML_07175,LIMHLO_06020,JEILEN_07450,JBIPMC_07250,PEDMFB_08030,PMCJLP_06905,MIJGKE_08035,JCNBHB_08035,CGGMPE_08030,LOEDCI_07095,FNCLAJ_06900
sodA,sodA,Superoxide dismutase [Fe],FHNNJA_13060,CJHMOJ_02135,HCJMML_01925,LIMHLO_01780,JEILEN_02020,JBIPMC_01940,PEDMFB_13835,PMCJLP_01870,MIJGKE_13770,JCNBHB_13775,CGGMPE_13475,LOEDCI_02145,FNCLAJ_01870
ssuE,ssuE,NAD(P)H-dependent FMN reductase,FHNNJA_08950,CJHMOJ_05465,HCJMML_05955,LIMHLO_04905,JEILEN_06200,JBIPMC_06010,PEDMFB_09200,PMCJLP_05630,MIJGKE_09205,JCNBHB_09210,CGGMPE_09205,LOEDCI_05860,FNCLAJ_05635
group_1524,acrR,DNA-binding protein AcrR family includes nucleoid occlusion protein SlmA,FHNNJA_08445,CJHMOJ_05980,HCJMML_06455,LIMHLO_05400,JEILEN_06720,JBIPMC_06515,PEDMFB_08705,PMCJLP_06140,MIJGKE_08710,JCNBHB_08710,CGGMPE_08705,LOEDCI_06360,FNCLAJ_06145
rsmC,rsmC,16S rRNA G1207 methylase RsmC,FHNNJA_00760,CJHMOJ_00625,HCJMML_00755,LIMHLO_00585,JEILEN_00775,JBIPMC_00765,PEDMFB_00595,PMCJLP_00630,MIJGKE_00595,JCNBHB_00595,CGGMPE_00595,LOEDCI_00870,FNCLAJ_00630
group_1520,ygaE,DUF939 domain-containing protein,FHNNJA_06180,CJHMOJ_08265,HCJMML_08925,LIMHLO_07490,JEILEN_08955,JBIPMC_09010,PEDMFB_06360,PMCJLP_08425,MIJGKE_06365,JCNBHB_06365,CGGMPE_06360,LOEDCI_08790,FNCLAJ_08420
rpsD,rpsD,30S ribosomal protein S4,FHNNJA_02265,CJHMOJ_13015,HCJMML_13645,LIMHLO_11160,JEILEN_14035,JBIPMC_13750,PEDMFB_01875,PMCJLP_12845,MIJGKE_01875,JCNBHB_01875,CGGMPE_01875,LOEDCI_13580,FNCLAJ_13115
gmk,gmk,guanylate kinase,FHNNJA_02030,CJHMOJ_13295,HCJMML_13925,LIMHLO_11425,JEILEN_14295,JBIPMC_14030,PEDMFB_01645,PMCJLP_13110,MIJGKE_01645,JCNBHB_01645,CGGMPE_01645,LOEDCI_13850,FNCLAJ_13380
niaX,niaX,Niacin transporter NiaX,FHNNJA_10870,CJHMOJ_03835,HCJMML_04335,LIMHLO_03345,JEILEN_04315,JBIPMC_04380,PEDMFB_11010,PMCJLP_04135,MIJGKE_11010,JCNBHB_11020,CGGMPE_10720,LOEDCI_04315,FNCLAJ_04140
group_1513,rpoE,DNA-directed RNA polymerase subunit delta,FHNNJA_09415,CJHMOJ_05095,HCJMML_05565,LIMHLO_04470,JEILEN_05800,JBIPMC_05615,PEDMFB_09590,PMCJLP_05260,MIJGKE_09595,JCNBHB_09600,CGGMPE_09595,LOEDCI_05460,FNCLAJ_05265
recU,recU,Holliday junction resolvase RecU,FHNNJA_09400,CJHMOJ_05110,HCJMML_05580,LIMHLO_04485,JEILEN_05815,JBIPMC_05630,PEDMFB_09575,PMCJLP_05275,MIJGKE_09580,JCNBHB_09585,CGGMPE_09580,LOEDCI_05475,FNCLAJ_05280
group_1512,,Lysozyme family protein,FHNNJA_07785,CJHMOJ_06635,HCJMML_07075,LIMHLO_05920,JEILEN_07350,JBIPMC_07150,PEDMFB_08130,PMCJLP_06805,MIJGKE_08135,JCNBHB_08135,CGGMPE_08130,LOEDCI_06995,FNCLAJ_06800
lexA,lexA,transcriptional repressor LexA,FHNNJA_07490,CJHMOJ_06925,HCJMML_07365,LIMHLO_06210,JEILEN_07640,JBIPMC_07440,PEDMFB_07835,PMCJLP_07095,MIJGKE_07840,JCNBHB_07840,CGGMPE_07835,LOEDCI_07285,FNCLAJ_07090
eMAP,eMAP,tRNA-binding EMAP/Myf domain,FHNNJA_02400,CJHMOJ_12820,HCJMML_13510,LIMHLO_11035,JEILEN_13865,JBIPMC_13615,PEDMFB_02035,PMCJLP_12645,MIJGKE_02035,JCNBHB_02035,CGGMPE_02035,LOEDCI_13410,FNCLAJ_12920
ywnB,ywnB,Putative NADH-flavin reductase,FHNNJA_01815,CJHMOJ_13520,HCJMML_14160,LIMHLO_11650,JEILEN_14505,JBIPMC_14265,PEDMFB_14325,PMCJLP_13340,MIJGKE_14260,JCNBHB_14265,CGGMPE_13965,LOEDCI_14065,FNCLAJ_13610
ykaA,ykaA,Phosphate transport regulator YkaA distantly related to PhoU UPF0111/DUF47 family,FHNNJA_04555,CJHMOJ_10000,HCJMML_10865,LIMHLO_08700,JEILEN_11035,JBIPMC_10965,PEDMFB_04670,PMCJLP_09840,MIJGKE_04675,JCNBHB_04670,CGGMPE_04670,LOEDCI_11180,FNCLAJ_10110
rplD,rplD,50S ribosomal protein L4,FHNNJA_00940,CJHMOJ_00780,HCJMML_00905,LIMHLO_00745,JEILEN_00930,JBIPMC_00915,PEDMFB_00750,PMCJLP_00785,MIJGKE_00750,JCNBHB_00750,CGGMPE_00750,LOEDCI_01040,FNCLAJ_00785
eutD,eutD,ethanolamine utilization phosphate acetyltransferase EutD,FHNNJA_07250,CJHMOJ_07115,HCJMML_07555,LIMHLO_06390,JEILEN_07845,JBIPMC_07630,PEDMFB_07615,PMCJLP_07285,MIJGKE_07620,JCNBHB_07620,CGGMPE_07615,LOEDCI_07515,FNCLAJ_07280
gloB,gloB,Glyoxylase or a related metal-dependent hydrolase beta-lactamase superfamily II,FHNNJA_04600,CJHMOJ_09950,HCJMML_10820,LIMHLO_08655,JEILEN_10990,JBIPMC_10920,PEDMFB_04715,PMCJLP_09795,MIJGKE_04720,JCNBHB_04715,CGGMPE_04715,LOEDCI_11135,FNCLAJ_10065
plsC,plsC,1-acyl-sn-glycerol-3-phosphate acyltransferase,FHNNJA_03625,CJHMOJ_10965,HCJMML_12135,LIMHLO_09590,JEILEN_12015,JBIPMC_12240,PEDMFB_03635,PMCJLP_10810,MIJGKE_03635,JCNBHB_03635,CGGMPE_03635,LOEDCI_12145,FNCLAJ_11085
udk,udk,uridine kinase,FHNNJA_11415,CJHMOJ_03290,HCJMML_03795,LIMHLO_02820,JEILEN_03785,JBIPMC_03835,PEDMFB_11550,PMCJLP_03595,MIJGKE_11550,JCNBHB_11560,CGGMPE_11260,LOEDCI_03755,FNCLAJ_03600
group_1500,glpR,DNA-binding transcriptional regulator of sugar metabolism DeoR/GlpR family,FHNNJA_10085,CJHMOJ_04295,HCJMML_04890,LIMHLO_03820,JEILEN_04890,JBIPMC_04945,PEDMFB_10275,PMCJLP_04595,MIJGKE_10275,JCNBHB_10285,CGGMPE_10280,LOEDCI_04785,FNCLAJ_04600
upp,upp,uracil phosphoribosyltransferase,FHNNJA_04245,CJHMOJ_10315,HCJMML_11235,LIMHLO_09030,JEILEN_11380,JBIPMC_11340,PEDMFB_04310,PMCJLP_10150,MIJGKE_04310,JCNBHB_04310,CGGMPE_04310,LOEDCI_11505,FNCLAJ_10420
cutC,cutC,copper homeostasis protein CutC,FHNNJA_03720,CJHMOJ_10835,HCJMML_12050,LIMHLO_09475,JEILEN_11895,JBIPMC_12155,PEDMFB_03765,PMCJLP_10680,MIJGKE_03765,JCNBHB_03765,CGGMPE_03765,LOEDCI_12025,FNCLAJ_10945
rplC,rplC,50S ribosomal protein L3,FHNNJA_00935,CJHMOJ_00775,HCJMML_00900,LIMHLO_00740,JEILEN_00925,JBIPMC_00910,PEDMFB_00745,PMCJLP_00780,MIJGKE_00745,JCNBHB_00745,CGGMPE_00745,LOEDCI_01035,FNCLAJ_00780
pyrE,pyrE,Orotate phosphoribosyltransferase,FHNNJA_06835,CJHMOJ_07545,HCJMML_07980,LIMHLO_06805,JEILEN_08305,JBIPMC_08060,PEDMFB_07190,PMCJLP_07710,MIJGKE_07195,JCNBHB_07195,CGGMPE_07190,LOEDCI_07945,FNCLAJ_07705
group_1496,gntR,GntR family transcriptional regulator,FHNNJA_03845,CJHMOJ_10710,HCJMML_11630,LIMHLO_09350,JEILEN_11770,JBIPMC_11730,PEDMFB_03900,PMCJLP_10550,MIJGKE_03900,JCNBHB_03900,CGGMPE_03900,LOEDCI_11900,FNCLAJ_10820
liaR,liaR,response regulator transcription factor LiaR,FHNNJA_02860,CJHMOJ_12050,HCJMML_12895,LIMHLO_10365,JEILEN_13380,JBIPMC_13000,PEDMFB_02535,PMCJLP_11595,MIJGKE_02535,JCNBHB_02535,CGGMPE_02535,LOEDCI_12910,FNCLAJ_11870
yutD,yutD,DUF1027 domain-containing protein,FHNNJA_09230,CJHMOJ_05275,HCJMML_05765,LIMHLO_04675,JEILEN_06010,JBIPMC_05820,PEDMFB_09390,PMCJLP_05440,MIJGKE_09395,JCNBHB_09400,CGGMPE_09395,LOEDCI_05670,FNCLAJ_05445
group_1494,nfnB,Nitroreductase,FHNNJA_13335,CJHMOJ_01865,HCJMML_01715,LIMHLO_01555,JEILEN_01750,JBIPMC_01730,PEDMFB_14110,PMCJLP_01605,MIJGKE_14045,JCNBHB_14050,CGGMPE_13750,LOEDCI_01860,FNCLAJ_01605
group_1493,glnQ,ABC-type polar amino acid transport system ATPase component,FHNNJA_11525,CJHMOJ_03195,HCJMML_03745,LIMHLO_02725,JEILEN_03735,JBIPMC_03785,PEDMFB_11645,PMCJLP_03500,MIJGKE_11645,JCNBHB_11655,CGGMPE_11355,LOEDCI_03705,FNCLAJ_03505
group_1492,opuBB,ABC-type proline/glycine betaine transport system permease component,FHNNJA_11225,CJHMOJ_03480,HCJMML_03990,LIMHLO_03000,JEILEN_03970,JBIPMC_04035,PEDMFB_11360,PMCJLP_03785,MIJGKE_11360,JCNBHB_11370,CGGMPE_11070,LOEDCI_03945,FNCLAJ_03790
yjbI,yjbI,Uncharacterized conserved protein YjbI contains pentapeptide repeats,FHNNJA_11035,CJHMOJ_03665,HCJMML_04175,LIMHLO_03185,JEILEN_04155,JBIPMC_04220,PEDMFB_11175,PMCJLP_03970,MIJGKE_11175,JCNBHB_11185,CGGMPE_10885,LOEDCI_04150,FNCLAJ_03975
group_1491,atpD,V-type ATP synthase subunit D,FHNNJA_07905,CJHMOJ_06515,HCJMML_06960,LIMHLO_05865,JEILEN_07235,JBIPMC_07035,PEDMFB_08250,PMCJLP_06690,MIJGKE_08255,JCNBHB_08255,CGGMPE_08250,LOEDCI_06880,FNCLAJ_06685
yesL,yesL,Uncharacterized membrane protein YesL,FHNNJA_05005,CJHMOJ_09440,HCJMML_10105,LIMHLO_08285,JEILEN_10390,JBIPMC_10195,PEDMFB_05160,PMCJLP_09295,MIJGKE_05165,JCNBHB_05165,CGGMPE_05160,LOEDCI_10580,FNCLAJ_09560
group_1490,,Uncharacterized membrane protein,FHNNJA_03760,CJHMOJ_10795,HCJMML_11715,LIMHLO_09435,JEILEN_11855,JBIPMC_11815,PEDMFB_03805,PMCJLP_10640,MIJGKE_03805,JCNBHB_03805,CGGMPE_03805,LOEDCI_11985,FNCLAJ_10905
thiE,thiE,Thiamine-phosphate synthase,FHNNJA_03250,CJHMOJ_11350,HCJMML_12510,LIMHLO_09970,JEILEN_12685,JBIPMC_12615,PEDMFB_03245,PMCJLP_11195,MIJGKE_03245,JCNBHB_03245,CGGMPE_03245,LOEDCI_12525,FNCLAJ_11470
dck,dck,Deoxyadenosine/deoxycytidine kinase,FHNNJA_11825,CJHMOJ_02795,HCJMML_03395,LIMHLO_02385,JEILEN_03405,JBIPMC_03435,PEDMFB_11950,PMCJLP_03180,MIJGKE_11950,JCNBHB_11960,CGGMPE_11660,LOEDCI_03410,FNCLAJ_03185
yheO,yheO,putative transcriptional regulator YheO contains PAS and DNA-binding HTH domains,FHNNJA_04085,CJHMOJ_10470,HCJMML_11390,LIMHLO_09105,JEILEN_11530,JBIPMC_11490,PEDMFB_04150,PMCJLP_10310,MIJGKE_04150,JCNBHB_04150,CGGMPE_04150,LOEDCI_11660,FNCLAJ_10580
cbpA,cbpA,cyclic di-AMP binding protein CbpA,FHNNJA_03455,CJHMOJ_11140,HCJMML_12305,LIMHLO_09765,JEILEN_12480,JBIPMC_12410,PEDMFB_03465,PMCJLP_10985,MIJGKE_03465,JCNBHB_03465,CGGMPE_03465,LOEDCI_12315,FNCLAJ_11260
tmk,tmk,dTMP kinase,FHNNJA_03305,CJHMOJ_11295,HCJMML_12455,LIMHLO_09915,JEILEN_12630,JBIPMC_12560,PEDMFB_03305,PMCJLP_11140,MIJGKE_03305,JCNBHB_03305,CGGMPE_03305,LOEDCI_12470,FNCLAJ_11415
pcp,pcp,pyroglutamyl-peptidase I,FHNNJA_13350,CJHMOJ_01850,HCJMML_01700,LIMHLO_01540,JEILEN_01735,JBIPMC_01715,PEDMFB_14125,PMCJLP_01590,MIJGKE_14060,JCNBHB_14065,CGGMPE_13765,LOEDCI_01845,FNCLAJ_01590
group_1478,flgJ,Flagellum-specific peptidoglycan hydrolase FlgJ,FHNNJA_04905,CJHMOJ_09645,HCJMML_10535,LIMHLO_08385,JEILEN_10650,JBIPMC_10635,PEDMFB_05000,PMCJLP_09500,MIJGKE_05005,JCNBHB_05005,CGGMPE_05000,LOEDCI_10680,FNCLAJ_09765
trmB,trmB,tRNA (guanosine(46)-N7)-methyltransferase TrmB,FHNNJA_12050,CJHMOJ_02570,HCJMML_03165,LIMHLO_02160,JEILEN_03175,JBIPMC_03205,PEDMFB_12420,PMCJLP_02955,MIJGKE_12420,JCNBHB_12430,CGGMPE_12130,LOEDCI_03185,FNCLAJ_02960
group_1474,hisM,ABC-type amino acid transport system permease component,FHNNJA_11520,CJHMOJ_03200,HCJMML_03750,LIMHLO_02730,JEILEN_03740,JBIPMC_03790,PEDMFB_11640,PMCJLP_03505,MIJGKE_11640,JCNBHB_11650,CGGMPE_11350,LOEDCI_03710,FNCLAJ_03510
sepF,sepF,Cell division protein SepF,FHNNJA_10540,CJHMOJ_04165,HCJMML_04760,LIMHLO_03690,JEILEN_04760,JBIPMC_04815,PEDMFB_10405,PMCJLP_04465,MIJGKE_10405,JCNBHB_10415,CGGMPE_10410,LOEDCI_04655,FNCLAJ_04470
ypmS,ypmS,DUF2140 domain-containing protein,FHNNJA_06975,CJHMOJ_07405,HCJMML_07840,LIMHLO_06665,JEILEN_08165,JBIPMC_07920,PEDMFB_07330,PMCJLP_07570,MIJGKE_07335,JCNBHB_07335,CGGMPE_07330,LOEDCI_07805,FNCLAJ_07565
thiN,thiN,thiamine diphosphokinase,FHNNJA_02080,CJHMOJ_13245,HCJMML_13865,LIMHLO_11375,JEILEN_14245,JBIPMC_13970,PEDMFB_01695,PMCJLP_13060,MIJGKE_01695,JCNBHB_01695,CGGMPE_01695,LOEDCI_13800,FNCLAJ_13330
group_1469,,Elongation factor G-binding protein,FHNNJA_13635,CJHMOJ_01305,HCJMML_01425,LIMHLO_01265,JEILEN_01450,JBIPMC_01435,PEDMFB_01265,PMCJLP_01310,MIJGKE_01265,JCNBHB_01265,CGGMPE_01265,LOEDCI_01560,FNCLAJ_01310
group_1468,eda,2-keto-3-deoxy-6-phosphogluconate aldolase,FHNNJA_13240,CJHMOJ_01950,HCJMML_01800,LIMHLO_01650,JEILEN_01840,JBIPMC_01815,PEDMFB_14015,PMCJLP_01690,MIJGKE_13950,JCNBHB_13955,CGGMPE_13655,LOEDCI_01965,FNCLAJ_01690
ycaP,ycaP,DUF421 domain-containing protein,FHNNJA_11990,CJHMOJ_02630,HCJMML_03230,LIMHLO_02220,JEILEN_03235,JBIPMC_03270,PEDMFB_12360,PMCJLP_03015,MIJGKE_12360,JCNBHB_12370,CGGMPE_12070,LOEDCI_03245,FNCLAJ_03020
nth,nth,endonuclease III,FHNNJA_09365,CJHMOJ_05145,HCJMML_05615,LIMHLO_04520,JEILEN_05850,JBIPMC_05665,PEDMFB_09540,PMCJLP_05310,MIJGKE_09545,JCNBHB_09550,CGGMPE_09545,LOEDCI_05510,FNCLAJ_05315
pgpB,pgpB,Membrane-associated phospholipid phosphatase,FHNNJA_11565,CJHMOJ_03155,HCJMML_03705,LIMHLO_02680,JEILEN_03695,JBIPMC_03745,PEDMFB_11685,PMCJLP_03460,MIJGKE_11685,JCNBHB_11695,CGGMPE_11395,LOEDCI_03665,FNCLAJ_03465
yczE,yczE,Uncharacterized membrane protein YczE,FHNNJA_06055,CJHMOJ_08395,HCJMML_09060,LIMHLO_07590,JEILEN_09080,JBIPMC_09145,PEDMFB_06235,PMCJLP_08550,MIJGKE_06240,JCNBHB_06240,CGGMPE_06235,LOEDCI_08915,FNCLAJ_08545
rex1,rex1,redox-sensing transcriptional repressor Rex,FHNNJA_03855,CJHMOJ_10700,HCJMML_11620,LIMHLO_09340,JEILEN_11760,JBIPMC_11720,PEDMFB_03910,PMCJLP_10540,MIJGKE_03910,JCNBHB_03910,CGGMPE_03910,LOEDCI_11890,FNCLAJ_10810
adk,adk,adenylate kinase,FHNNJA_01040,CJHMOJ_00880,HCJMML_01005,LIMHLO_00845,JEILEN_01030,JBIPMC_01015,PEDMFB_00850,PMCJLP_00885,MIJGKE_00850,JCNBHB_00850,CGGMPE_00850,LOEDCI_01140,FNCLAJ_00885
eutL,eutL,ethanolamine utilization microcompartment protein EutL,FHNNJA_07225,CJHMOJ_07140,HCJMML_07580,LIMHLO_06415,JEILEN_07870,JBIPMC_07655,PEDMFB_07590,PMCJLP_07310,MIJGKE_07595,JCNBHB_07595,CGGMPE_07590,LOEDCI_07540,FNCLAJ_07305
yqfA,yqfA,putative membrane channel-forming protein YqfA hemolysin III family,FHNNJA_06960,CJHMOJ_07420,HCJMML_07855,LIMHLO_06680,JEILEN_08180,JBIPMC_07935,PEDMFB_07315,PMCJLP_07585,MIJGKE_07320,JCNBHB_07320,CGGMPE_07315,LOEDCI_07820,FNCLAJ_07580
group_1461,,Cobalt transport protein,FHNNJA_03290,CJHMOJ_11310,HCJMML_12470,LIMHLO_09930,JEILEN_12645,JBIPMC_12575,PEDMFB_03285,PMCJLP_11155,MIJGKE_03285,JCNBHB_03285,CGGMPE_03285,LOEDCI_12485,FNCLAJ_11430
rpe,rpe,ribulose-phosphate 3-epimerase,FHNNJA_02075,CJHMOJ_13250,HCJMML_13870,LIMHLO_11380,JEILEN_14250,JBIPMC_13975,PEDMFB_01690,PMCJLP_13065,MIJGKE_01690,JCNBHB_01690,CGGMPE_01690,LOEDCI_13805,FNCLAJ_13335
group_1459,crp,cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases,FHNNJA_00315,CJHMOJ_00320,HCJMML_00315,LIMHLO_00320,JEILEN_00325,JBIPMC_00315,PEDMFB_00315,PMCJLP_00320,MIJGKE_00315,JCNBHB_00315,CGGMPE_00315,LOEDCI_00645,FNCLAJ_00320
group_1454,ycjU,Beta-phosphoglucomutase HAD superfamily,FHNNJA_02785,CJHMOJ_12125,HCJMML_12970,LIMHLO_10660,JEILEN_13455,JBIPMC_13075,PEDMFB_02460,PMCJLP_11670,MIJGKE_02460,JCNBHB_02460,CGGMPE_02460,LOEDCI_12985,FNCLAJ_11945
rpsC,rpsC,30S ribosomal protein S3,FHNNJA_00965,CJHMOJ_00805,HCJMML_00930,LIMHLO_00770,JEILEN_00955,JBIPMC_00940,PEDMFB_00775,PMCJLP_00810,MIJGKE_00775,JCNBHB_00775,CGGMPE_00775,LOEDCI_01065,FNCLAJ_00810
group_1449,,Uncharacterized membrane protein,FHNNJA_11555,CJHMOJ_03165,HCJMML_03715,LIMHLO_02690,JEILEN_03705,JBIPMC_03755,PEDMFB_11675,PMCJLP_03470,MIJGKE_11675,JCNBHB_11685,CGGMPE_11385,LOEDCI_03675,FNCLAJ_03475
group_1448,,Type VII secretion system protein EssD-like domain-containing protein,FHNNJA_08490,CJHMOJ_05935,HCJMML_06410,LIMHLO_05355,JEILEN_06675,JBIPMC_06470,PEDMFB_08750,PMCJLP_06095,MIJGKE_08755,JCNBHB_08755,CGGMPE_08750,LOEDCI_06315,FNCLAJ_06100
nadD,nadD,nicotinate-nucleotide adenylyltransferase,FHNNJA_03065,CJHMOJ_11845,HCJMML_12695,LIMHLO_10160,JEILEN_13175,JBIPMC_12800,PEDMFB_02740,PMCJLP_11390,MIJGKE_02740,JCNBHB_02740,CGGMPE_02740,LOEDCI_12710,FNCLAJ_11665
opuBB,opuBB,ABC-type proline/glycine betaine transport system permease component,FHNNJA_11235,CJHMOJ_03470,HCJMML_03980,LIMHLO_02990,JEILEN_03960,JBIPMC_04025,PEDMFB_11370,PMCJLP_03775,MIJGKE_11370,JCNBHB_11380,CGGMPE_11080,LOEDCI_03935,FNCLAJ_03780
group_1441,,Xaa-Pro dipeptidase,FHNNJA_06550,CJHMOJ_07835,HCJMML_08255,LIMHLO_07115,JEILEN_08590,JBIPMC_08335,PEDMFB_06920,PMCJLP_08000,MIJGKE_06925,JCNBHB_06925,CGGMPE_06920,LOEDCI_08230,FNCLAJ_07995
mecA,mecA,Adapter protein MecA,FHNNJA_03665,CJHMOJ_10885,HCJMML_12095,LIMHLO_09525,JEILEN_11945,JBIPMC_12200,PEDMFB_03715,PMCJLP_10730,MIJGKE_03715,JCNBHB_03715,CGGMPE_03715,LOEDCI_12075,FNCLAJ_10995
fetA,fetA,ABC-type iron transporter FetAB ATPase component,FHNNJA_03335,CJHMOJ_11265,HCJMML_12425,LIMHLO_09885,JEILEN_12600,JBIPMC_12530,PEDMFB_03335,PMCJLP_11110,MIJGKE_03335,JCNBHB_03335,CGGMPE_03335,LOEDCI_12440,FNCLAJ_11385
deoC,deoC,deoxyribose-phosphate aldolase,FHNNJA_00780,CJHMOJ_00645,HCJMML_00775,LIMHLO_00605,JEILEN_00795,JBIPMC_00785,PEDMFB_00615,PMCJLP_00650,MIJGKE_00615,JCNBHB_00615,CGGMPE_00615,LOEDCI_00890,FNCLAJ_00650
group_1436,hisM,ABC-type amino acid transport system permease component,FHNNJA_09555,CJHMOJ_04955,HCJMML_05425,LIMHLO_04325,JEILEN_05665,JBIPMC_05480,PEDMFB_09730,PMCJLP_05120,MIJGKE_09735,JCNBHB_09740,CGGMPE_09735,LOEDCI_05315,FNCLAJ_05125
group_1434,crp,cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases,FHNNJA_06050,CJHMOJ_08400,HCJMML_09065,LIMHLO_07595,JEILEN_09085,JBIPMC_09150,PEDMFB_06230,PMCJLP_08555,MIJGKE_06235,JCNBHB_06235,CGGMPE_06230,LOEDCI_08920,FNCLAJ_08550
trkA,trkA,Trk/Ktr K+ transport system regulatory component TrkA/KtrA/KtrC RCK domain,FHNNJA_02865,CJHMOJ_12045,HCJMML_12890,LIMHLO_10360,JEILEN_13375,JBIPMC_12995,PEDMFB_02540,PMCJLP_11590,MIJGKE_02540,JCNBHB_02540,CGGMPE_02540,LOEDCI_12905,FNCLAJ_11865
group_1425,lolD,ABC-type lipoprotein export system ATPase component,FHNNJA_11580,CJHMOJ_03140,HCJMML_03690,LIMHLO_02665,JEILEN_03680,JBIPMC_03730,PEDMFB_11700,PMCJLP_03445,MIJGKE_11700,JCNBHB_11710,CGGMPE_11410,LOEDCI_03650,FNCLAJ_03450
pgmB,pgmB,beta-phosphoglucomutase,FHNNJA_10780,CJHMOJ_03925,HCJMML_04440,LIMHLO_03435,JEILEN_04440,JBIPMC_04495,PEDMFB_10920,PMCJLP_04225,MIJGKE_10920,JCNBHB_10930,CGGMPE_10630,LOEDCI_04405,FNCLAJ_04230
mntR,mntR,Mn-dependent transcriptional regulator MntR DtxR family,FHNNJA_10510,CJHMOJ_04195,HCJMML_04790,LIMHLO_03720,JEILEN_04790,JBIPMC_04845,PEDMFB_10375,PMCJLP_04495,MIJGKE_10375,JCNBHB_10385,CGGMPE_10380,LOEDCI_04685,FNCLAJ_04500
